t,detect_pct,jitter_px,drift_px,sharp,bright,exposure_us,gain
1411.08,0.0,,,226,104.8,2000,8.0
1412.10,0.0,,,226,105.3,2000,8.0
1413.15,0.0,,,226,105.2,2000,8.0
1414.17,0.0,,,226,105.3,2000,8.0
1415.23,0.0,,,226,105.4,2000,8.0
1416.29,0.0,,,226,105.5,2000,8.0
1417.37,0.0,,,226,105.5,2000,8.0
1418.45,0.0,,,226,105.7,2000,8.0
1419.51,0.0,,,220,105.7,2000,8.0
1420.58,0.0,,,223,105.8,2000,8.0
1421.64,0.0,,,223,105.8,2000,8.0
1422.71,0.0,,,222,105.8,2000,8.0
1423.77,0.0,,,218,105.8,2000,8.0
1424.82,0.0,,,216,106.1,2000,8.0
1425.85,0.0,,,214,106.6,2000,8.0
1426.88,0.0,,,216,103.9,2000,8.0
1427.90,0.0,,,217,105.3,2000,8.0
1428.92,0.0,,,215,105.4,2000,8.0
1429.94,0.0,,,216,105.9,2000,8.0
1430.96,0.0,,,213,104.1,2000,8.0
1431.99,0.0,,,214,104.8,2000,8.0
1433.02,0.0,,,215,104.2,2000,8.0
1434.05,0.0,,,216,103.5,2000,8.0
1435.08,33.3,,50.3,234,104.9,2000,8.0
1436.12,33.3,4.342,75.2,238,97.9,2000,8.0
1437.17,8.3,5.639,40.5,234,103.4,2000,8.0
1438.22,8.3,7.553,31.6,223,103.0,2000,8.0
1439.27,0.0,7.553,31.6,226,102.2,2000,8.0
1440.32,0.0,7.553,31.6,217,102.9,2000,8.0
1441.35,0.0,7.553,31.6,219,103.6,2000,8.0
1442.37,0.0,7.553,31.6,219,103.2,2000,8.0
1443.40,0.0,7.553,31.6,216,104.2,2000,8.0
1444.45,33.3,15.804,56.8,222,101.0,2000,8.0
1445.48,0.0,15.804,56.8,221,100.5,2000,8.0
1446.52,41.7,16.060,47.9,217,102.7,2000,8.0
1447.57,16.7,15.569,82.7,225,100.8,2000,8.0
1448.59,0.0,15.569,82.7,219,104.7,2000,8.0
1449.61,0.0,15.569,82.7,218,102.3,2000,8.0
1450.64,0.0,15.569,82.7,217,104.6,2000,8.0
1451.69,0.0,15.569,82.7,222,103.0,2000,8.0
1452.73,41.7,18.988,201.7,216,98.3,2000,8.0
1453.78,33.3,18.824,31.4,215,101.4,2000,8.0
